X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA
-58.4458207903149,-34.5933534724551,R030,746.000000,HUMBOLDT@CORRIENTES,Barrios
-58.4671658425584,-34.595022511619,R031,755.000000,"YERUA@BIELSA, RAFAEL, Dr.",Barrios
-58.467082888195,-34.5932893480967,R031,754.000000,PAZ SOLDAN@AVALOS,Barrios
-58.4668953651626,-34.5916508391172,R031,753.000000,ELCANO@BALBOA,Barrios
-58.4671804016827,-34.5886002839352,R031,752.000000,HEREDIA@MONTENEGRO,Barrios
-58.4672896522221,-34.5869491574677,R031,751.000000,ESTOMBA@GIRARDOT,Barrios
-58.4906514161306,-34.6091029547144,R032,757.000000,GENOVA@CAMPANA,Barrios
-58.4898860247348,-34.6078394900008,R032,758.000000,ARREGUI@CUENCA,Barrios
-58.4910404394583,-34.6101558620605,R032,756.000000,LASCANO@LLAVALLOL,Barrios
-58.4894268174166,-34.6061753044781,R032,759.000000,SANTO TOME@HELGUERA,Barrios
-58.4892239555478,-34.6041064681091,R032,760.000000,"SASTRE, MARCOS@ARGERICH",Barrios
-58.4902123221497,-34.6217413942908,R033,761.000000,"DIAZ, CESAR, GRAL.@CHIVILCOY",Barrios
-58.4904054308712,-34.620149957625,R033,762.000000,"MAGARIÃƒÂOS CERVANTES, A.@BAHIA BLANCA",Barrios
-58.4908283406529,-34.6169631992223,R033,764.000000,SAN BLAS@SAN NICOLAS,Barrios
-58.4911577551178,-34.61547067449,R033,765.000000,"GARCIA, JUAN AGUSTIN@LAMARCA, EMILIO",Barrios
-58.4904887746409,-34.6184472730256,R033,763.000000,"CAMARONES@GONZALEZ, JOAQUIN V.",Barrios
-58.5068398466869,-34.6215074185779,R034,770.000000,ALCARAZ@BERMUDEZ,Barrios
-58.5050518146275,-34.6218936998726,R034,769.000000,MIRANDA@ALLENDE,Barrios
-58.5031655352336,-34.6226205625135,R034,768.000000,"GONZALEZ, ELPIDIO@JUAREZ, BENITO",Barrios
-58.5015809361126,-34.623084474185,R034,767.000000,"GARCIA, JUAN AGUSTIN@PAZ, MARCOS",Barrios
-58.4998420789818,-34.6234528454815,R034,766.000000,SAN BLAS@BERNALDES,Barrios
-58.5050154460447,-34.6323140650857,R035,771.000000,MURATURE@MOLIERE,Barrios
-58.507103723059,-34.6323016319587,R035,772.000000,"MAGARIÃƒÂOS CERVANTES, A.@HUGO, VICTOR",Barrios
-58.5091692535212,-34.632448261919,R035,773.000000,CAMARONES@CORTINA,Barrios
-58.5110429828761,-34.6325601429753,R035,774.000000,SAN BLAS@IRIGOYEN,Barrios
-58.5126662843206,-34.6323446222497,R035,775.000000,"GARCIA, JUAN AGUSTIN@RUIZ DE LOS LLANOS",Barrios
-58.5273728390159,-34.6438144854794,R036,780.000000,"PALMAR@SUAREZ, JOSE LEON",Barrios
-58.5261829658236,-34.6428636727673,R036,779.000000,"BOSCH, VENTURA@MONTIEL",Barrios
-58.5248795262453,-34.641559374337,R036,778.000000,IBARROLA@CARHUE,Barrios
-58.5235976299263,-34.6401794842928,R036,777.000000,"COSQUIN@FALCON, RAMON L.,CNEL.",Barrios
-58.5226519595371,-34.6380235467865,R036,776.000000,"VIEDMA, FRANCISCO de@BARRAGAN",Barrios
-58.5141337314589,-34.6449460340402,R037,785.000000,GARCIA DE COSSIO@OLIDEN,Barrios
-58.5142627517946,-34.6470199866523,R037,784.000000,PATRON@MURGUIONDO,Barrios
-58.513851529602,-34.6485981655127,R037,783.000000,"ACASSUSO@LEGUIZAMON, MARTINIANO",Barrios
-58.5140219844015,-34.6507035089603,R037,782.000000,ERCILLA@PILAR,Barrios
-58.5139435401382,-34.6529893139635,R037,781.000000,"SCHMIDL, ULRICO@GORDILLO, TIMOTEO",Barrios
-58.5101191642138,-34.6595395016822,R038,786.000000,BRAGADO@ANDALGALA,Barrios
-58.5097076830165,-34.6612102018936,R038,787.000000,TAPALQUE@CARHUE,Barrios
-58.5092978916452,-34.6628819552112,R038,788.000000,"RODO, JOSE E.@GUAMINI",Barrios
-58.5086541380506,-34.664749081743,R038,789.000000,DIRECTORIO@MONTIEL,Barrios
-58.5079411753306,-34.6665174959909,R038,790.000000,"TANDIL@SUAREZ, JOSE LEON",Barrios
-58.4988111052005,-34.6557456604401,R039,795.000000,CHASCOMUS@PIERES,Barrios
-58.4990193665988,-34.6543092884759,R039,794.000000,"RODO, JOSE E.@LARRAZABAL",Barrios
-58.4989978503193,-34.6522640233372,R039,793.000000,TAPALQUE@FONROUGE,Barrios
-58.4994501733273,-34.650642924333,R039,792.000000,BRAGADO@POLA,Barrios
-58.500242240413,-34.6475001931395,R039,791.000000,ARTIGAS MANUEL de@ALBARIÃƒÂO,Barrios
-58.4945336391461,-34.632081961761,R040,800.000000,"ARANGUREN, JUAN F., Dr.@BERMUDEZ",Barrios
-58.4957758735651,-34.6333770259527,R040,799.000000,SARACHAGA@CERVANTES,Barrios
-58.497009406144,-34.6347594062196,R040,798.000000,"BACACAY@CALDERON DE LA BARCA, PEDRO",Barrios
-58.4977895805953,-34.6385156432102,R040,797.000000,"FALCON, RAMON L.,CNEL.@LEOPARDI",Barrios
-58.4989898391585,-34.6399414643284,R040,796.000000,RAFAELA@MANZONI,Barrios
-58.4864067645389,-34.6435600951558,R041,801.000000,"RODO, JOSE E.@AMEGHINO, FLORENTINO, Dr.",Barrios
-58.4860278873624,-34.6450074667278,R041,802.000000,CHASCOMUS@MORETO,Barrios
-58.486068810112,-34.6465960291603,R041,803.000000,DIRECTORIO@MOZART,Barrios
