año,mes,punto_cruce,punto_referencia,cantidad_ciclistas
2011,Agosto,Virrey Liniers y C.Calvo,PB6,586
2011,Agosto,Billin-ghurst y Peron,PB10,1387
2011,Agosto,Del Liber-tador y Montevideo,PB11,950
2011,Agosto,Corredor Norte y Casares,PB12,1230
2011,Agosto,EEUU y 33 Orientales,PB32,441
2011,Agosto,F. Alcorta y Derecho,PB36,786
2011,Agosto,Montev y Peron,PB37,870
2011,Agosto,Potosi y Rawson,PB39,419
2011,Agosto,J. Alvarez y Padilla,PB40,238
2011,Agosto,Cnel. Diaz y Mansilla,PB48,275
2011,Agosto,Arenales y Montevideo,PB52,412
2011,Septiembre,Virrey Cevallos y Chile,PB1,1267
2011,Septiembre,Azopar-do y Mexico,PB2,587
2011,Septiembre,Rincon y Carlos Calvo,PB3,873
2011,Septiembre,Virrey Liniers y C.Calvo,PB6,684
2011,Septiembre,Billin-ghurst y Peron,PB10,1910
2011,Septiembre,Del Liber-tador y Montevideo,PB11,1308
2011,Septiembre,Corredor Norte y Casares,PB12,1906
2011,Septiembre,EEUU y 33 Orientales,PB32,657
2011,Septiembre,F. Alcorta y Derecho,PB36,1411
2011,Septiembre,Montev y Peron,PB37,893
2011,Septiembre,Potosi y Rawson,PB39,666
2011,Septiembre,J. Alvarez y Padilla,PB40,359
2011,Septiembre,Cnel. Diaz y Mansilla,PB48,297
2011,Septiembre,Arenales y Montevideo,PB52,445
2011,Octubre,Virrey Cevallos y Chile,PB1,1543
2011,Octubre,Azopar-do y Mexico,PB2,696
2011,Octubre,Rincon y Carlos Calvo,PB3,1142
2011,Octubre,Virrey Liniers y C.Calvo,PB6,1008
2011,Octubre,Billin-ghurst y Peron,PB10,2501
2011,Octubre,Del Liber-tador y Montevideo,PB11,2157
2011,Octubre,Corredor Norte y Casares,PB12,3310
2011,Octubre,EEUU y 33 Orientales,PB32,838
2011,Octubre,F. Alcorta y Derecho,PB36,1680
2011,Octubre,Montev y Peron,PB37,1063
2011,Octubre,Potosi y Rawson,PB39,802
2011,Octubre,J. Alvarez y Padilla,PB40,387
2011,Octubre,Cnel. Diaz y Mansilla,PB48,326
2011,Octubre,Arenales y Montevideo,PB52,488
2011,Noviembre,Virrey Cevallos y Chile,PB1,1712
2011,Noviembre,Azopar-do y Mexico,PB2,815
2011,Noviembre,Rincon y Carlos Calvo,PB3,1049
2011,Noviembre,Virrey Liniers y C.Calvo,PB6,1062
2011,Noviembre,Billin-ghurst y Peron,PB10,2986
2011,Noviembre,Del Liber-tador y Montevideo,PB11,2493
2011,Noviembre,Corredor Norte y Casares,PB12,3245
2011,Noviembre,EEUU y 33 Orientales,PB32,952
2011,Noviembre,F. Alcorta y Derecho,PB36,2012
2011,Noviembre,Montev y Peron,PB37,1220
2011,Noviembre,Potosi y Rawson,PB39,837
2011,Noviembre,J. Alvarez y Padilla,PB40,492
2011,Noviembre,Chile y Tacuari,PB44,784
2011,Noviembre,Serrano y Loyola,PB45,684
2011,Noviembre,Gorriti y G. Cruz,PB46,1175
2011,Noviembre,Cnel. Diaz y Mansilla,PB48,353
2011,Noviembre,Arenales y Montevideo,PB52,528
2011,Diciembre,Virrey Cevallos y Chile,PB1,1567
2011,Diciembre,Azopar-do y Mexico,PB2,749
2011,Diciembre,Rincon y Carlos Calvo,PB3,1342
