centroide,cruce,año,turno,cantidad_ciclistas,tipo_relevamiento
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2018,tarde,29,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2013,mañana,27,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2013,tarde,23,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2014,mañana,18,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2014,tarde,38,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2015,mañana,25,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2015,tarde,47,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2016,mañana,24,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2016,tarde,25,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2017,mañana,40,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2017,tarde,39,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2018,mañana,61,macrocentro
510,"GUEMES, MACACHA@DEALESSI, PIERINA",2018,tarde,39,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2013,mañana,30,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2013,tarde,24,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2014,mañana,41,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2014,tarde,41,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2015,mañana,24,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2015,tarde,45,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2016,mañana,29,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2016,tarde,33,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2017,mañana,31,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2017,tarde,58,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2018,mañana,45,macrocentro
514,"GUEMES, MACACHA@MANSO JUANA",2018,tarde,56,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2013,mañana,12,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2013,tarde,15,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2014,mañana,6,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2014,tarde,24,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2015,mañana,21,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2015,tarde,33,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2016,mañana,10,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2016,tarde,18,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2017,mañana,13,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2017,tarde,25,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2018,mañana,7,macrocentro
339,"GUEMES, MACACHA @ GIRALT, HERNAN M., INT., A",2018,tarde,42,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2013,mañana,13,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2013,tarde,12,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2014,mañana,2,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2014,tarde,0,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2015,mañana,12,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2015,tarde,14,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2016,mañana,0,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2016,tarde,0,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2017,mañana,4,macrocentro
519,"SANCHEZ DE THOMPSON, MARIQUITA@GIRALT, HERNAN M., INT., A",2017,tarde,30,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2013,mañana,2,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2013,tarde,8,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2014,mañana,1,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2014,tarde,18,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2015,mañana,13,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2015,tarde,11,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2016,mañana,6,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2016,tarde,10,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2017,mañana,5,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2017,tarde,17,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2018,mañana,3,macrocentro
518,DE LOS ITALIANOS & SANCHEZ DE THOMPSON MARIQUITA,2018,tarde,10,macrocentro
516,MANSO JUANA & SANCHEZ DE THOMPSON MARIQUITA,2013,mañana,21,macrocentro
