,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,anio_construccion,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP,geometry
822,13787,9010,INDEPENDENCIA AV.,0,0,981,999,,AV. INDEPENDENCIA,AVENIDA,37.76,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,1,1,1,,CONSTITUCION,MONSERRAT,"MULTILINESTRING ((-58.37986723016692 -34.61762125005018, -58.38004686809924 -34.61763355602317, -58.38027822007101 -34.61763772782216))"
823,13791,9010,INDEPENDENCIA AV.,1032,1070,1031,1069,,AV. INDEPENDENCIA,AVENIDA,41.2,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,1,1,1,,CONSTITUCION,MONSERRAT,"MULTILINESTRING ((-58.38068751548872 -34.61764511844359, -58.38113667575936 -34.61765323878176))"
824,13799,9010,INDEPENDENCIA AV.,1102,1200,1101,1199,,AV. INDEPENDENCIA,AVENIDA,138.1,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,1,1,1,,CONSTITUCION,MONSERRAT,"MULTILINESTRING ((-58.38151488015504 -34.617660112719534, -58.381786097068996 -34.61766501261236, -58.38285031721603 -34.61771945212251, -58.38301768800627 -34.6177332949456))"
825,13822,1125,"ARTIGAS, JOSE GERVASIO, GRAL.",1102,1200,1101,1199,SUDAMERICA,GRAL. JOSE GERVASIO ARTIGAS,CALLE,138.34,CRECIENTE,1,,Ciclovías,,,2017.0,Ciclovía,VÍA LOCAL,,11,11,11,VILLA GRAL. MITRE,VILLA GRAL. MITRE,VILLA GRAL. MITRE,"MULTILINESTRING ((-58.46909362644067 -34.61779710961601, -58.469923310017876 -34.61675564571417))"
826,13831,13076,MEXICO,2802,2900,2801,2899,,MEXICO,CALLE,108.48,DECRECIENTE,-1,,Ciclovías,,,2014.0,Ciclovía,VÍA LOCAL,,3,3,3,BALVANERA,BALVANERA,BALVANERA,"MULTILINESTRING ((-58.40546975635489 -34.617462761406706, -58.40657493271277 -34.6178112423893))"
827,13838,23485,"VERA PEÑALOZA,  ROSARIO",0,0,0,0,,ROSARIO VERA PEÑALOZA,BOULEVARD,47.1,DECRECIENTE,-1,no corresponde número,Ciclovías,,,,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,1,1,1,PUERTO MADERO,PUERTO MADERO,PUERTO MADERO,"MULTILINESTRING ((-58.36328714237592 -34.617833020860665, -58.363081799192685 -34.617726805718924, -58.362883997467286 -34.61757331151814))"
828,13842,6049,FRAGATA Pres. SARMIENTO,502,600,501,599,PARAMARIBO,FRAGATA Pres. SARMIENTO,CALLE,137.07,CRECIENTE,1,,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,2.0191181955951005e+20,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,6,6,6,CABALLITO,CABALLITO,CABALLITO,"MULTILINESTRING ((-58.45078457947676 -34.61787674705555, -58.45084157940005 -34.617792878593505, -58.45143783520222 -34.61676567146646))"
829,13855,3258,CHIVILCOY,1752,1800,1751,1799,,CHIVILCOY,CALLE,69.7,DECRECIENTE,-1,,Ciclovías,,,2013.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,10,10,10,MONTE CASTRO,MONTE CASTRO,MONTE CASTRO,"MULTILINESTRING ((-58.495049141540946 -34.61790368052851, -58.495597551400216 -34.617468742367876))"
830,13862,21045,TREINTA Y TRES ORIENTALES,302,400,301,399,TREINTA Y TRES,TREINTA Y TRES ORIENTALES,CALLE,111.88,CRECIENTE,1,corrección numeración 17-1,Ciclovías,,,2014.0,Ciclovía,VÍA LOCAL,,5,5,5,ALMAGRO,ALMAGRO,ALMAGRO,"MULTILINESTRING ((-58.424436403741254 -34.61692752471947, -58.42438388728746 -34.6179351263028))"
831,13872,9010,INDEPENDENCIA AV.,1502,1600,1501,1599,,AV. INDEPENDENCIA,AVENIDA,138.28,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,1,1,1,,CONSTITUCION,MONSERRAT,"MULTILINESTRING ((-58.38746381397376 -34.61790839552251, -58.387740647505744 -34.61792060970268, -58.38896772598239 -34.6179961532083))"
