centroide,cantidad_ciclistas,año,turno,barrios
338,70,2013-01-01,mañana,PUERTO MADERO
338,82,2013-01-01,tarde,PUERTO MADERO
338,47,2014-01-01,mañana,PUERTO MADERO
338,78,2014-01-01,tarde,PUERTO MADERO
338,33,2015-01-01,mañana,PUERTO MADERO
338,101,2015-01-01,tarde,PUERTO MADERO
338,37,2016-01-01,mañana,PUERTO MADERO
338,46,2016-01-01,tarde,PUERTO MADERO
338,42,2017-01-01,mañana,PUERTO MADERO
338,56,2017-01-01,tarde,PUERTO MADERO
338,17,2018-01-01,mañana,PUERTO MADERO
338,49,2018-01-01,tarde,PUERTO MADERO
331,30,2013-01-01,mañana,MONSERRAT
331,23,2013-01-01,tarde,MONSERRAT
331,36,2014-01-01,mañana,MONSERRAT
331,12,2014-01-01,tarde,MONSERRAT
331,20,2015-01-01,mañana,MONSERRAT
331,20,2015-01-01,tarde,MONSERRAT
331,21,2016-01-01,mañana,MONSERRAT
331,7,2016-01-01,tarde,MONSERRAT
331,27,2017-01-01,mañana,MONSERRAT
331,15,2017-01-01,tarde,MONSERRAT
331,26,2018-01-01,mañana,MONSERRAT
331,18,2018-01-01,tarde,MONSERRAT
315,19,2013-01-01,mañana,SAN TELMO
315,52,2013-01-01,tarde,SAN TELMO
315,29,2014-01-01,mañana,SAN TELMO
315,54,2014-01-01,tarde,SAN TELMO
315,20,2015-01-01,mañana,SAN TELMO
315,49,2015-01-01,tarde,SAN TELMO
315,21,2016-01-01,mañana,SAN TELMO
315,34,2016-01-01,tarde,SAN TELMO
315,37,2017-01-01,mañana,SAN TELMO
315,31,2017-01-01,tarde,SAN TELMO
316,28,2013-01-01,mañana,MONSERRAT
316,36,2013-01-01,tarde,MONSERRAT
316,27,2014-01-01,mañana,MONSERRAT
316,49,2014-01-01,tarde,MONSERRAT
316,24,2015-01-01,mañana,MONSERRAT
316,38,2015-01-01,tarde,MONSERRAT
316,12,2016-01-01,mañana,MONSERRAT
316,30,2016-01-01,tarde,MONSERRAT
316,32,2017-01-01,mañana,MONSERRAT
316,30,2017-01-01,tarde,MONSERRAT
334,51,2013-01-01,mañana,SAN TELMO
334,76,2013-01-01,tarde,SAN TELMO
334,48,2014-01-01,mañana,SAN TELMO
334,66,2014-01-01,tarde,SAN TELMO
334,65,2015-01-01,mañana,SAN TELMO
334,81,2015-01-01,tarde,SAN TELMO
334,59,2016-01-01,mañana,SAN TELMO
334,53,2016-01-01,tarde,SAN TELMO
334,61,2017-01-01,mañana,SAN TELMO
334,74,2017-01-01,tarde,SAN TELMO
334,49,2018-01-01,mañana,SAN TELMO
334,59,2018-01-01,tarde,SAN TELMO
335,10,2013-01-01,mañana,SAN TELMO
335,12,2013-01-01,tarde,SAN TELMO
335,14,2014-01-01,mañana,SAN TELMO
335,17,2014-01-01,tarde,SAN TELMO
335,10,2015-01-01,mañana,SAN TELMO
335,26,2015-01-01,tarde,SAN TELMO
335,5,2016-01-01,mañana,SAN TELMO
335,12,2016-01-01,tarde,SAN TELMO
335,9,2017-01-01,mañana,SAN TELMO
335,18,2017-01-01,tarde,SAN TELMO
336,32,2013-01-01,mañana,PUERTO MADERO
336,18,2013-01-01,tarde,PUERTO MADERO
336,42,2014-01-01,mañana,PUERTO MADERO
336,12,2014-01-01,tarde,PUERTO MADERO
336,28,2015-01-01,mañana,PUERTO MADERO
336,14,2015-01-01,tarde,PUERTO MADERO
336,11,2016-01-01,mañana,PUERTO MADERO
336,11,2016-01-01,tarde,PUERTO MADERO
336,18,2017-01-01,mañana,PUERTO MADERO
336,10,2017-01-01,tarde,PUERTO MADERO
336,5,2018-01-01,mañana,PUERTO MADERO
336,6,2018-01-01,tarde,PUERTO MADERO
303,41,2013-01-01,mañana,SAN TELMO
303,38,2013-01-01,tarde,SAN TELMO
303,28,2014-01-01,mañana,SAN TELMO
303,44,2014-01-01,tarde,SAN TELMO
303,30,2015-01-01,mañana,SAN TELMO
303,52,2015-01-01,tarde,SAN TELMO
303,31,2016-01-01,mañana,SAN TELMO
303,39,2016-01-01,tarde,SAN TELMO
303,49,2017-01-01,mañana,SAN TELMO
303,39,2017-01-01,tarde,SAN TELMO
306,50,2013-01-01,mañana,SAN TELMO
306,44,2013-01-01,tarde,SAN TELMO
306,38,2014-01-01,mañana,SAN TELMO
306,45,2014-01-01,tarde,SAN TELMO
306,46,2015-01-01,mañana,SAN TELMO
306,26,2015-01-01,tarde,SAN TELMO
306,50,2016-01-01,mañana,SAN TELMO
306,30,2016-01-01,tarde,SAN TELMO
306,68,2017-01-01,mañana,SAN TELMO
306,32,2017-01-01,tarde,SAN TELMO
305,13,2013-01-01,mañana,SAN TELMO
305,32,2013-01-01,tarde,SAN TELMO
305,0,2014-01-01,mañana,SAN TELMO
305,26,2014-01-01,tarde,SAN TELMO
305,1,2015-01-01,mañana,SAN TELMO
305,11,2015-01-01,tarde,SAN TELMO
305,6,2016-01-01,mañana,SAN TELMO
305,25,2016-01-01,tarde,SAN TELMO
305,9,2017-01-01,mañana,SAN TELMO
305,41,2017-01-01,tarde,SAN TELMO
305,9,2018-01-01,mañana,SAN TELMO
305,27,2018-01-01,tarde,SAN TELMO
304,26,2013-01-01,mañana,SAN TELMO
304,45,2013-01-01,tarde,SAN TELMO
304,32,2014-01-01,mañana,SAN TELMO
304,39,2014-01-01,tarde,SAN TELMO
304,38,2015-01-01,mañana,SAN TELMO
304,36,2015-01-01,tarde,SAN TELMO
304,32,2016-01-01,mañana,SAN TELMO
304,30,2016-01-01,tarde,SAN TELMO
304,21,2017-01-01,mañana,SAN TELMO
304,46,2017-01-01,tarde,SAN TELMO
304,21,2018-01-01,mañana,SAN TELMO
304,57,2018-01-01,tarde,SAN TELMO
298,39,2013-01-01,mañana,SAN TELMO
298,72,2013-01-01,tarde,SAN TELMO
298,22,2014-01-01,mañana,SAN TELMO
298,52,2014-01-01,tarde,SAN TELMO
298,27,2015-01-01,mañana,SAN TELMO
298,65,2015-01-01,tarde,SAN TELMO
298,49,2016-01-01,mañana,SAN TELMO
298,33,2016-01-01,tarde,SAN TELMO
298,42,2017-01-01,mañana,SAN TELMO
298,51,2017-01-01,tarde,SAN TELMO
298,35,2018-01-01,mañana,SAN TELMO
298,111,2018-01-01,tarde,SAN TELMO
299,13,2013-01-01,mañana,SAN TELMO
299,12,2013-01-01,tarde,SAN TELMO
299,2,2014-01-01,mañana,SAN TELMO
299,12,2014-01-01,tarde,SAN TELMO
299,4,2015-01-01,mañana,SAN TELMO
299,13,2015-01-01,tarde,SAN TELMO
299,15,2016-01-01,mañana,SAN TELMO
299,15,2016-01-01,tarde,SAN TELMO
299,11,2017-01-01,mañana,SAN TELMO
299,22,2017-01-01,tarde,SAN TELMO
297,29,2013-01-01,mañana,SAN TELMO
297,41,2013-01-01,tarde,SAN TELMO
297,24,2014-01-01,mañana,SAN TELMO
297,19,2014-01-01,tarde,SAN TELMO
297,27,2015-01-01,mañana,SAN TELMO
297,24,2015-01-01,tarde,SAN TELMO
297,15,2016-01-01,mañana,SAN TELMO
297,17,2016-01-01,tarde,SAN TELMO
297,22,2017-01-01,mañana,SAN TELMO
297,23,2017-01-01,tarde,SAN TELMO
291,25,2013-01-01,mañana,SAN TELMO
291,33,2013-01-01,tarde,SAN TELMO
291,23,2014-01-01,mañana,SAN TELMO
291,47,2014-01-01,tarde,SAN TELMO
291,23,2015-01-01,mañana,SAN TELMO
291,56,2015-01-01,tarde,SAN TELMO
291,23,2016-01-01,mañana,SAN TELMO
291,34,2016-01-01,tarde,SAN TELMO
291,36,2017-01-01,mañana,SAN TELMO
291,50,2017-01-01,tarde,SAN TELMO
287,10,2013-01-01,mañana,BARRACAS
