X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA,geometry,barrio
-58.3836200554319,-34.6051005917382,R031,272.0,LIBERTAD@SARMIENTO,Macrocentro,POINT (-58.3836200554319 -34.6051005917382),SAN NICOLAS
-58.3863094087135,-34.6076107074421,R031,245.0,"MITRE, BARTOLOME@URUGUAY",Macrocentro,POINT (-58.3863094087135 -34.6076107074421),SAN NICOLAS
-58.384992401064,-34.6063475053299,R031,247.0,"PERON, JUAN DOMINGO, TTE.@TALCAHUANO",Macrocentro,POINT (-58.384992401064 -34.6063475053299),SAN NICOLAS
-58.3874785507345,-34.6111813531447,R032,232.0,"ALSINA, ADOLFO@SAENZ PENA, LUIS, PRES.",Macrocentro,POINT (-58.3874785507345 -34.6111813531447),MONSERRAT
-58.382022336102,-34.6073386427407,R032,269.0,"MITRE, BARTOLOME@CERRITO",Macrocentro,POINT (-58.382022336102 -34.6073386427407),SAN NICOLAS
-58.3889413960417,-34.6124676444508,R032,226.0,"MORENO@CEVALLOS, Virrey",Macrocentro,POINT (-58.3889413960417 -34.6124676444508),MONSERRAT
-58.3834642919571,-34.6085778014785,R032,267.0,RIVADAVIA@SALTA,Macrocentro,POINT (-58.3834642919571 -34.6085778014785),SAN NICOLAS
-58.3862239533357,-34.6099584865249,R032,246.0,"YRIGOYEN, HIPOLITO@SAN JOSE",Macrocentro,POINT (-58.3862239533357 -34.6099584865249),MONSERRAT
-58.3833636821038,-34.6109229626349,R033,266.0,"ALSINA, ADOLFO@SALTA",Macrocentro,POINT (-58.3833636821038 -34.6109229626349),MONSERRAT
-58.3860750193125,-34.6134347160042,R033,233.0,BELGRANO@SAN JOSE,Macrocentro,POINT (-58.3860750193125 -34.6134347160042),MONSERRAT
-58.3819131745955,-34.6096785851313,R033,268.0,"LIMA@YRIGOYEN, HIPOLITO",Macrocentro,POINT (-58.3819131745955 -34.6096785851313),MONSERRAT
-58.3847686731255,-34.6121539123612,R033,234.0,MORENO@SANTIAGO DEL ESTERO,Macrocentro,POINT (-58.3847686731255 -34.6121539123612),MONSERRAT
-58.3874954193179,-34.6146734610538,R033,231.0,"SAENZ PENA, LUIS, PRES.@VENEZUELA",Macrocentro,POINT (-58.3874954193179 -34.6146734610538),MONSERRAT
-58.3817545440821,-34.6131303656419,R034,257.0,BELGRANO@LIMA,Macrocentro,POINT (-58.3817545440821 -34.6131303656419),MONSERRAT
-58.3858882876836,-34.6166854881487,R034,229.0,CHILE@SAN JOSE,Macrocentro,POINT (-58.3858882876836 -34.6166854881487),MONSERRAT
-58.3874603844296,-34.6179095391758,R034,227.0,"INDEPENDENCIA@SAENZ PENA, LUIS, PRES.",Macrocentro,POINT (-58.3874603844296 -34.6179095391758),MONSERRAT
-58.3844800635992,-34.6154415917824,R034,230.0,MEXICO@SANTIAGO DEL ESTERO,Macrocentro,POINT (-58.3844800635992 -34.6154415917824),MONSERRAT
-58.3831120751824,-34.6143897546288,R034,256.0,SALTA@VENEZUELA,Macrocentro,POINT (-58.3831120751824 -34.6143897546288),MONSERRAT
-58.3858330468281,-34.6198709173533,R035,204.0,"CALVO, CARLOS@SAN JOSE",Macrocentro,POINT (-58.3858330468281 -34.6198709173533),CONSTITUCION
-58.3842929920266,-34.6186198228134,R035,228.0,ESTADOS UNIDOS@SANTIAGO DEL ESTERO,Macrocentro,POINT (-58.3842929920266 -34.6186198228134),CONSTITUCION
-58.387209033815,-34.6212587960757,R035,202.0,"HUMBERTO 1Ã‚Âª@SAENZ PENA, LUIS, PRES.",Macrocentro,POINT (-58.387209033815 -34.6212587960757),CONSTITUCION
