centroide,cantidad_ciclistas,año,turno,X,Y,RECORRIDO,CRUCE,ÃREA,geometry
343,6,2015,tarde,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,15,2016,mañana,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,14,2016,tarde,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,15,2017,mañana,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,9,2017,tarde,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,9,2018,mañana,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,29,2018,tarde,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
510,27,2013,mañana,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,23,2013,tarde,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,18,2014,mañana,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,38,2014,tarde,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,25,2015,mañana,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,47,2015,tarde,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,24,2016,mañana,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,25,2016,tarde,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,40,2017,mañana,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,39,2017,tarde,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,61,2018,mañana,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
510,39,2018,tarde,-58.3644590229282,-34.6053066057198,R003,"GUEMES, MACACHA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3644590229282 -34.6053066057198)
